Date,Open,High,Low,Close,Volume
2025-01-01 00:00:00,2350.0,2354.19,2349.3,2352.81,3459
2025-01-01 00:15:00,2352.81,2354.27,2351.97,2352.28,4134
2025-01-01 00:30:00,2352.28,2353.62,2348.45,2350.37,4746
2025-01-01 00:45:00,2350.37,2351.72,2348.0,2349.01,3236
2025-01-01 01:00:00,2349.01,2351.4,2348.17,2350.67,2245
2025-01-01 01:15:00,2350.67,2351.9,2348.31,2349.05,3059
2025-01-01 01:30:00,2349.05,2349.51,2346.68,2347.79,4497
2025-01-01 01:45:00,2347.79,2349.08,2344.45,2345.91,1574
2025-01-01 02:00:00,2345.91,2347.39,2343.99,2345.34,4268
2025-01-01 02:15:00,2345.34,2346.99,2344.42,2344.96,2272
2025-01-01 02:30:00,2344.96,2348.99,2344.51,2347.74,4610
2025-01-01 02:45:00,2347.74,2349.4,2345.84,2346.21,3945
2025-01-01 03:00:00,2346.21,2347.15,2343.15,2345.1,1482
2025-01-01 03:15:00,2345.1,2346.03,2342.88,2343.37,1160
2025-01-01 03:30:00,2343.37,2347.34,2341.52,2345.39,3630
2025-01-01 03:45:00,2345.39,2349.76,2343.52,2347.83,1322
2025-01-01 04:00:00,2347.83,2350.5,2346.56,2349.01,4198
2025-01-01 04:15:00,2349.01,2352.47,2348.48,2350.83,3914
2025-01-01 04:30:00,2350.83,2354.36,2348.92,2353.11,2107
2025-01-01 04:45:00,2353.11,2354.01,2350.3,2351.04,2644
2025-01-01 05:00:00,2351.04,2354.67,2349.34,2353.15,3284
2025-01-01 05:15:00,2353.15,2353.55,2349.94,2351.01,4930
2025-01-01 05:30:00,2351.01,2352.96,2349.86,2350.6,1380
2025-01-01 05:45:00,2350.6,2353.02,2349.82,2351.71,2941
2025-01-01 06:00:00,2351.71,2355.26,2349.94,2354.37,1829
2025-01-01 06:15:00,2354.37,2357.02,2352.82,2355.6,4602
2025-01-01 06:30:00,2355.6,2359.38,2353.65,2357.83,2465
2025-01-01 06:45:00,2357.83,2361.6,2357.03,2360.63,4035
2025-01-01 07:00:00,2360.63,2361.11,2358.65,2359.35,2585
2025-01-01 07:15:00,2359.35,2360.89,2357.56,2360.39,4964
2025-01-01 07:30:00,2360.39,2363.33,2359.58,2362.91,1299
2025-01-01 07:45:00,2362.91,2364.1,2360.79,2362.64,2012
2025-01-01 08:00:00,2362.64,2365.19,2360.7,2364.7,3065
2025-01-01 08:15:00,2364.7,2365.51,2363.63,2364.94,3346
2025-01-01 08:30:00,2364.94,2365.71,2361.98,2362.92,2539
2025-01-01 08:45:00,2362.92,2365.58,2361.9,2364.63,4034
2025-01-01 09:00:00,2364.63,2367.39,2363.02,2365.4,4092
2025-01-01 09:15:00,2365.4,2368.23,2363.68,2366.3,3316
2025-01-01 09:30:00,2366.3,2368.38,2365.34,2366.99,686
2025-01-01 09:45:00,2366.99,2368.32,2365.43,2365.9,3316
2025-01-01 10:00:00,2365.9,2368.78,2364.28,2368.42,4195
2025-01-01 10:15:00,2368.42,2369.23,2366.44,2367.03,2649
2025-01-01 10:30:00,2367.03,2370.06,2366.31,2368.62,3033
2025-01-01 10:45:00,2368.62,2372.14,2368.14,2371.3,1155
2025-01-01 11:00:00,2371.3,2372.13,2368.21,2370.11,4966
2025-01-01 11:15:00,2370.11,2370.54,2369.29,2370.17,3201
2025-01-01 11:30:00,2370.17,2370.94,2368.05,2369.8,1828
2025-01-01 11:45:00,2369.8,2373.14,2369.45,2372.03,748
2025-01-01 12:00:00,2372.03,2372.72,2370.32,2372.04,4071
2025-01-01 12:15:00,2372.04,2374.46,2370.98,2374.12,2497
2025-01-01 12:30:00,2374.12,2377.81,2373.1,2376.55,1642
2025-01-01 12:45:00,2376.55,2378.78,2374.75,2377.21,3785
2025-01-01 13:00:00,2377.21,2377.7,2374.64,2375.65,3522
2025-01-01 13:15:00,2375.65,2377.08,2372.07,2373.83,4700
2025-01-01 13:30:00,2373.83,2375.87,2372.48,2375.46,4578
2025-01-01 13:45:00,2375.46,2377.75,2374.16,2376.5,4980
2025-01-01 14:00:00,2376.5,2380.27,2375.61,2378.82,2560
